,layer,type,coords.x1,coords.x2,coords.x3
659,C,Bone,5.3119997978,2.7060000896,-1.4789999723
660,C,Bone,5.9127998352,2.5392000675,-1.4596999884
661,C,Bone,5.0430998802,2.7715001106,-1.5126999617
671,C,Bone,6.368999958,2.1549999714,-1.4559999704
672,C,Bone,6.5970001221,2.0280001163,-1.4750000238
673,C,Bone,6.4990000725,2.5720000267,-1.4609999657
674,C,Bone,6.6079998016,2.2260000706,-1.4739999771
675,C,Bone,6.4869999886,2.6500000954,-1.4930000305
676,C,Bone,6.6300001144,2.2460000515,-1.4789999723
677,C,Bone,6.0500001907,2.6010000706,-1.5010000467
678,C,Bone,6.609000206,2.0639998913,-1.5089999437
679,C,Bone,6.3819999695,2.1970000267,-1.503000021
680,C,Bone,6.4569997787,2.5250000954,-1.5290000439
681,C,Bone,6.5960001945,2.0380001068,-1.5210000277
682,C,Bone,6.6050000191,2.0539999008,-1.5199999809
683,C,Bone,6.108399868,2.5327000618,-1.5144000053
684,C,Bone,6.0637001991,2.6812999249,-1.5307999849
685,C,Bone,6.380300045,2.3131000996,-1.5171999931
686,C,Bone,6.8246998787,2.1445999146,-1.5132000446
687,C,Bone,6.4010000229,2.364000082,-1.5099999905
688,C,Bone,6.4984002113,2.6435000896,-1.5295000076
689,C,Bone,6.4917998314,2.6401000023,-1.5273000002
690,C,Tooth,6.5650000572,2.7320001125,-1.5190000534
691,C,Bone,6.7955999374,2.0966999531,-1.5334999561
692,C,Bone,6.4086999893,2.1579999924,-1.5453000069
693,C,Bone,6.0938000679,2.4298000336,-1.4991999865
694,C,Bone,6.3467998505,2.2953999043,-1.5281000137
695,C,Bone,6.5599999428,2.628000021,-1.5479999781
696,C,Bone,6.228000164,2.3870000839,-1.1399999857
697,C,Bone,5.0560002327,2.6270000935,-1.5559999943
698,C,Bone,6.4400000572,2.493999958,-1.6130000353
699,C,Lithic,6.7090001106,2.6519999504,-1.5789999962
700,C,Bone,6.5450000763,2.0710000992,-1.5839999914
701,C,Bone,6.4530000687,2.1830000877,-1.6200000048
702,C,Bone,6.5240001678,2.5950000286,-1.5829999447
703,C,Bone,6.5450000763,1.6460000277,-1.5859999657
704,C,Bone,6.1220002174,2.1050000191,-1.631000042
705,C,Bone,6.3520002365,2.2160000801,-1.6339999437
706,C,Bone,6.3369998932,2.121999979,-1.6339999437
