,id,layer,abrasion,oxid,weat,taphorecord,coords.x1,coords.x2,coords.x3
539,972,D,NA,NA,NA,NA,7.373000145,2.132999897,-1.7940000296
540,1078,D,NA,NA,NA,NA,7.7239999771,2.3450000286,-1.753000021
541,1140,D,NA,NA,NA,NA,7.4660000801,2.2980000973,-1.8190000057
542,1208,D,NA,NA,NA,NA,7.0419998169,2.0429999828,-1.8170000315
543,1266,D,NA,NA,NA,NA,7.5359997749,2.3199999332,-1.8229999542
544,1290,D,NA,NA,NA,NA,7.6430001259,2.1949999332,-1.8309999704
545,1305,D,NA,NA,NA,NA,7.6620001793,2.2019999027,-1.8409999609
546,1327,D,NA,NA,NA,NA,7.6380000114,2.2219998837,-1.8489999771
547,977,D,NA,NA,NA,NA,7.6719999313,2.2309999466,-1.8480000496
548,1025,D,NA,NA,NA,NA,7.007999897,2.0150001049,-1.8589999676
549,973,D,NA,NA,NA,NA,8.5329999924,1.7899999619,-1.7769999504
550,1079,D,NA,NA,NA,NA,8.5659999847,1.682000041,-1.8190000057
551,1141,D,NA,NA,NA,NA,8.4630002975,1.756000042,-1.7910000086
552,1209,D,NA,NA,NA,NA,8.5920000076,1.6009999514,-1.8550000191
553,1267,D,NA,NA,NA,NA,8.4160003662,1.9160000086,-1.8059999943
554,1291,D,NA,NA,NA,NA,8.4790000916,1.8730000257,-1.7940000296
555,1306,D,NA,NA,NA,NA,8.4440002441,1.9279999733,-1.8150000572
556,1062,D,NA,NA,NA,NA,3.8369998932,2.7460000515,-1.8680000305
557,1067,D,NA,NA,NA,NA,3.3380000591,2.8210000992,-1.9240000248
558,1085,D,NA,NA,NA,NA,7.0560002327,2.3059999943,-2.256000042
559,1086,D,NA,NA,NA,NA,7.0560002327,2.3059999943,-2.256000042
560,1094,D,NA,NA,NA,NA,7.0560002327,2.3059999943,-2.256000042
561,1099,D,NA,NA,NA,NA,7.0560002327,2.3059999943,-2.256000042
562,1104,D,NA,NA,NA,NA,3.5629999638,2.7379999161,-1.9340000153
563,1109,D,NA,NA,NA,NA,3.6029999256,2.9210000038,-1.9450000525
564,1068,D,NA,NA,NA,NA,4.521999836,2.5150001049,-1.8860000372
565,1211,D,NA,NA,NA,NA,6.2550001144,2.378000021,-1.8650000095
566,1268,D,NA,NA,NA,NA,6.5269999504,2.1540000439,-1.8880000114
567,1292,D,NA,NA,NA,NA,6.6100001335,2.0950000286,-1.8869999647
568,1307,D,NA,NA,NA,NA,6.2309999466,2.368999958,-1.8569999933
569,1318,D,NA,NA,NA,NA,6.2179999352,2.0529999733,-1.824000001
570,978,D,NA,NA,NA,NA,6.3579998016,2.368999958,-1.8899999857
571,993,D,NA,NA,NA,NA,6.5089998245,2.5889999866,-1.868999958
572,1026,D,NA,NA,NA,NA,6.2239999771,2.1059999466,-1.8789999485
573,1038,D,NA,NA,NA,NA,6.2389998436,2.0469999313,-1.9019999504
574,1043,D,NA,NA,NA,NA,6.109000206,2.1289999485,-1.868999958
575,1049,D,NA,NA,NA,NA,6.3119997978,2.0940001011,-1.9179999828
576,1057,D,NA,NA,NA,NA,6.2430000305,2.013999939,-1.925999999
577,1063,D,NA,NA,NA,NA,6.1630001068,2.3510000706,-1.8830000162
578,1069,D,NA,NA,NA,NA,6.5510001183,2.5610001087,-1.9069999456
579,1087,D,NA,NA,NA,NA,6.2550001144,2.1229999065,-1.9220000505
580,1105,D,NA,NA,NA,NA,6.8740000725,2.0369999409,-1.8710000515
581,1110,D,NA,NA,NA,NA,6.8460001945,2.0820000172,-1.949000001
582,1132,D,NA,NA,NA,NA,6.0250000954,2.0840001106,-1.9069999456
